id,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,if_anomaly
82,0.03659,25.0,4.86,0.0,0.426,6.3020000000000005,32.2,5.4007,4.0,281.0,19.0,396.9,6.72,1
83,0.03551,25.0,4.86,0.0,0.426,6.167000000000002,46.7,5.4007,4.0,281.0,19.0,390.64,7.51,1
84,0.05059,0.0,4.49,0.0,0.449,6.3889999999999985,48.0,4.7794,3.0,247.0,18.5,396.9,9.62,1
85,0.05735,0.0,4.49,0.0,0.449,6.63,56.1,4.4377,3.0,247.0,18.5,392.3,6.53,1
86,0.05188,0.0,4.49,0.0,0.449,6.015,45.1,4.4272,3.0,247.0,18.5,395.99,12.86,1
87,0.07151,0.0,4.49,0.0,0.449,6.121,56.8,3.7476,3.0,247.0,18.5,395.15,8.44,1
88,0.0566,0.0,3.41,0.0,0.489,7.0070000000000014,86.3,3.4217,2.0,270.0,17.8,396.9,5.5,1
89,0.053020000000000005,0.0,3.41,0.0,0.489,7.079,63.1,3.4145,2.0,270.0,17.8,396.06,5.7,1
90,0.04684,0.0,3.41,0.0,0.489,6.417000000000002,66.1,3.0923,2.0,270.0,17.8,392.18,8.81,1
91,0.03932,0.0,3.41,0.0,0.489,6.405,73.9,3.0921,2.0,270.0,17.8,393.55,8.2,1
92,0.04203,28.0,15.04,0.0,0.464,6.442,53.6,3.6659,4.0,270.0,18.2,395.01,8.16,1
93,0.02875,28.0,15.04,0.0,0.464,6.211,28.9,3.6659,4.0,270.0,18.2,396.33,6.21,1
94,0.04294,28.0,15.04,0.0,0.464,6.249,77.3,3.615,4.0,270.0,18.2,396.9,10.59,1
95,0.12204,0.0,2.89,0.0,0.445,6.625,57.8,3.4952,2.0,276.0,18.0,357.98,6.65,1
96,0.11504,0.0,2.89,0.0,0.445,6.1629999999999985,69.6,3.4952,2.0,276.0,18.0,391.83,11.34,1
97,0.12083,0.0,2.89,0.0,0.445,8.068999999999999,76.0,3.4952,2.0,276.0,18.0,396.9,4.21,1
98,0.08187,0.0,2.89,0.0,0.445,7.82,36.9,3.4952,2.0,276.0,18.0,393.53,3.57,1
99,0.0686,0.0,2.89,0.0,0.445,7.416,62.5,3.4952,2.0,276.0,18.0,396.9,6.19,1
100,0.14866,0.0,8.56,0.0,0.52,6.727,79.9,2.7778,5.0,384.0,20.9,394.76,9.42,1
101,0.11432,0.0,8.56,0.0,0.52,6.7810000000000015,71.3,2.8561,5.0,384.0,20.9,395.58,7.67,1
102,0.22876,0.0,8.56,0.0,0.52,6.405,85.4,2.7147,5.0,384.0,20.9,70.8,10.63,1
103,0.21161,0.0,8.56,0.0,0.52,6.1370000000000005,87.4,2.7147,5.0,384.0,20.9,394.47,13.44,1
104,0.1396,0.0,8.56,0.0,0.52,6.167000000000002,90.0,2.421,5.0,384.0,20.9,392.69,12.33,1
105,0.13262000000000002,0.0,8.56,0.0,0.52,5.851,96.7,2.1069,5.0,384.0,20.9,394.05,16.47,1
106,0.1712,0.0,8.56,0.0,0.52,5.836,91.9,2.211,5.0,384.0,20.9,395.67,18.66,1
107,0.13117,0.0,8.56,0.0,0.52,6.127000000000002,85.2,2.1224,5.0,384.0,20.9,387.69,14.09,1
108,0.12802,0.0,8.56,0.0,0.52,6.474,97.1,2.4329,5.0,384.0,20.9,395.24,12.27,1
109,0.26363000000000003,0.0,8.56,0.0,0.52,6.229,91.2,2.5451,5.0,384.0,20.9,391.23,15.55,1
110,0.10793,0.0,8.56,0.0,0.52,6.195,54.4,2.7778,5.0,384.0,20.9,393.49,13.0,1
111,0.10084,0.0,10.01,0.0,0.547,6.715,81.6,2.6775,6.0,432.0,17.8,395.59,10.16,1
112,0.12329,0.0,10.01,0.0,0.547,5.9129999999999985,92.9,2.3534,6.0,432.0,17.8,394.95,16.21,1
113,0.22212,0.0,10.01,0.0,0.547,6.0920000000000005,95.4,2.548,6.0,432.0,17.8,396.9,17.09,1
114,0.14231,0.0,10.01,0.0,0.547,6.254,84.2,2.2565,6.0,432.0,17.8,388.74,10.45,1
115,0.17134000000000002,0.0,10.01,0.0,0.547,5.928,88.2,2.4631,6.0,432.0,17.8,344.91,15.76,1
116,0.13158,0.0,10.01,0.0,0.547,6.176,72.5,2.7301,6.0,432.0,17.8,393.3,12.04,1
117,0.15098,0.0,10.01,0.0,0.547,6.021,82.6,2.7474,6.0,432.0,17.8,394.51,10.3,1
118,0.13058,0.0,10.01,0.0,0.547,5.872000000000001,73.1,2.4775,6.0,432.0,17.8,338.63,15.37,1
119,0.14476,0.0,10.01,0.0,0.547,5.731,65.2,2.7592,6.0,432.0,17.8,391.5,13.61,1
120,0.06899,0.0,25.65,0.0,0.581,5.87,69.7,2.2577,2.0,188.0,19.1,389.15,14.37,1
121,0.07165,0.0,25.65,0.0,0.581,6.004,84.1,2.1974,2.0,188.0,19.1,377.67,14.27,1
122,0.09299,0.0,25.65,0.0,0.581,5.961,92.9,2.0869,2.0,188.0,19.1,378.09,17.93,1
123,0.15038,0.0,25.65,0.0,0.581,5.856,97.0,1.9444,2.0,188.0,19.1,370.31,25.41,1
124,0.09849,0.0,25.65,0.0,0.581,5.879,95.8,2.0063,2.0,188.0,19.1,379.38,17.58,1
125,0.16902,0.0,25.65,0.0,0.581,5.9860000000000015,88.4,1.9929,2.0,188.0,19.1,385.02,14.81,1
126,0.38735,0.0,25.65,0.0,0.581,5.613,95.6,1.7572,2.0,188.0,19.1,359.29,27.26,-1
127,0.25915,0.0,21.89,0.0,0.624,5.693,96.0,1.7883,4.0,437.0,21.2,392.11,17.19,1
128,0.32543,0.0,21.89,0.0,0.624,6.431,98.8,1.8125,4.0,437.0,21.2,396.9,15.39,1
129,0.88125,0.0,21.89,0.0,0.624,5.6370000000000005,94.7,1.9799,4.0,437.0,21.2,396.9,18.34,1
130,0.34006,0.0,21.89,0.0,0.624,6.457999999999998,98.9,2.1185,4.0,437.0,21.2,395.04,12.6,1
131,1.19294,0.0,21.89,0.0,0.624,6.3260000000000005,97.7,2.271,4.0,437.0,21.2,396.9,12.26,1
132,0.59005,0.0,21.89,0.0,0.624,6.372000000000001,97.9,2.3274,4.0,437.0,21.2,385.76,11.12,1
133,0.32982,0.0,21.89,0.0,0.624,5.822,95.4,2.4699,4.0,437.0,21.2,388.69,15.03,1
134,0.97617,0.0,21.89,0.0,0.624,5.7570000000000014,98.4,2.346,4.0,437.0,21.2,262.76,17.31,1
135,0.55778,0.0,21.89,0.0,0.624,6.335,98.2,2.1107,4.0,437.0,21.2,394.67,16.96,1
136,0.32264,0.0,21.89,0.0,0.624,5.942,93.5,1.9669,4.0,437.0,21.2,378.25,16.9,1
137,0.35233000000000003,0.0,21.89,0.0,0.624,6.454,98.4,1.8498,4.0,437.0,21.2,394.08,14.59,1
138,0.2498,0.0,21.89,0.0,0.624,5.857,98.2,1.6686,4.0,437.0,21.2,392.04,21.32,1
139,0.54452,0.0,21.89,0.0,0.624,6.151,97.9,1.6687,4.0,437.0,21.2,396.9,18.46,1
140,0.2909,0.0,21.89,0.0,0.624,6.174,93.6,1.6119,4.0,437.0,21.2,388.08,24.16,1
141,1.62864,0.0,21.89,0.0,0.624,5.019,100.0,1.4394,4.0,437.0,21.2,396.9,34.41,-1
142,3.32105,0.0,19.58,1.0,0.871,5.403,100.0,1.3216,5.0,403.0,14.7,396.9,26.82,-1
143,4.0974,0.0,19.58,0.0,0.871,5.468,100.0,1.4118,5.0,403.0,14.7,396.9,26.42,-1
144,2.7797400000000003,0.0,19.58,0.0,0.871,4.9030000000000005,97.8,1.3459,5.0,403.0,14.7,396.9,29.29,-1
145,2.37934,0.0,19.58,0.0,0.871,6.13,100.0,1.4191,5.0,403.0,14.7,172.91,27.8,-1
146,2.15505,0.0,19.58,0.0,0.871,5.627999999999999,100.0,1.5166,5.0,403.0,14.7,169.27,16.65,-1
147,2.36862,0.0,19.58,0.0,0.871,4.926,95.7,1.4608,5.0,403.0,14.7,391.71,29.53,-1
148,2.3309900000000003,0.0,19.58,0.0,0.871,5.186,93.8,1.5296,5.0,403.0,14.7,356.99,28.32,1
149,2.73397,0.0,19.58,0.0,0.871,5.597,94.9,1.5257,5.0,403.0,14.7,351.85,21.45,1
150,1.6566,0.0,19.58,0.0,0.871,6.122000000000001,97.3,1.618,5.0,403.0,14.7,372.8,14.1,1
151,1.49632,0.0,19.58,0.0,0.871,5.404,100.0,1.5916,5.0,403.0,14.7,341.6,13.28,1
152,1.12658,0.0,19.58,1.0,0.871,5.012,88.0,1.6102,5.0,403.0,14.7,343.28,12.12,-1
153,2.14918,0.0,19.58,0.0,0.871,5.709,98.5,1.6232,5.0,403.0,14.7,261.95,15.79,1
154,1.41385,0.0,19.58,1.0,0.871,6.129,96.0,1.7494,5.0,403.0,14.7,321.02,15.12,-1
155,3.53501,0.0,19.58,1.0,0.871,6.152,82.6,1.7455,5.0,403.0,14.7,88.01,15.02,-1
156,2.44668,0.0,19.58,0.0,0.871,5.272,94.0,1.7364,5.0,403.0,14.7,88.63,16.14,-1
157,1.22358,0.0,19.58,0.0,0.605,6.943,97.4,1.8773,5.0,403.0,14.7,363.43,4.59,1
158,1.34284,0.0,19.58,0.0,0.605,6.066,100.0,1.7573,5.0,403.0,14.7,353.89,6.43,1
159,1.4250200000000002,0.0,19.58,0.0,0.871,6.51,100.0,1.7659,5.0,403.0,14.7,364.31,7.39,1
160,1.27346,0.0,19.58,1.0,0.605,6.25,92.6,1.7984,5.0,403.0,14.7,338.92,5.5,1
161,1.46336,0.0,19.58,0.0,0.605,7.489,90.8,1.9709,5.0,403.0,14.7,374.43,1.73,1
162,1.83377,0.0,19.58,1.0,0.605,7.802,98.2,2.0407,5.0,403.0,14.7,389.61,1.92,-1
163,1.51902,0.0,19.58,1.0,0.605,8.375,93.9,2.162,5.0,403.0,14.7,388.45,3.32,-1
164,2.24236,0.0,19.58,0.0,0.605,5.854,91.8,2.422,5.0,403.0,14.7,395.11,11.64,1
165,2.924,0.0,19.58,0.0,0.605,6.101,93.0,2.2834,5.0,403.0,14.7,240.16,9.81,1
166,2.01019,0.0,19.58,0.0,0.605,7.9289999999999985,96.2,2.0459,5.0,403.0,14.7,369.3,3.7,1
167,1.80028,0.0,19.58,0.0,0.605,5.877000000000002,79.2,2.4259,5.0,403.0,14.7,227.61,12.14,1
168,2.3004,0.0,19.58,0.0,0.605,6.319,96.1,2.1,5.0,403.0,14.7,297.09,11.1,1
169,2.44953,0.0,19.58,0.0,0.605,6.402,95.2,2.2625,5.0,403.0,14.7,330.04,11.32,1
170,1.2074200000000002,0.0,19.58,0.0,0.605,5.875,94.6,2.4259,5.0,403.0,14.7,292.29,14.43,1
171,2.3139,0.0,19.58,0.0,0.605,5.88,97.3,2.3887,5.0,403.0,14.7,348.13,12.03,1
172,0.13914,0.0,4.05,0.0,0.51,5.572,88.5,2.5961,5.0,296.0,16.6,396.9,14.69,1
173,0.09178,0.0,4.05,0.0,0.51,6.416,84.1,2.6463,5.0,296.0,16.6,395.5,9.04,1
174,0.08447,0.0,4.05,0.0,0.51,5.859,68.7,2.7019,5.0,296.0,16.6,393.23,9.64,1
175,0.06663999999999999,0.0,4.05,0.0,0.51,6.546,33.1,3.1323,5.0,296.0,16.6,390.96,5.33,1
176,0.07022,0.0,4.05,0.0,0.51,6.02,47.2,3.5549,5.0,296.0,16.6,393.23,10.11,1
177,0.05425,0.0,4.05,0.0,0.51,6.315,73.4,3.3175,5.0,296.0,16.6,395.6,6.29,1
178,0.06642,0.0,4.05,0.0,0.51,6.86,74.4,2.9153,5.0,296.0,16.6,391.27,6.92,1
179,0.0578,0.0,2.46,0.0,0.488,6.98,58.4,2.829,3.0,193.0,17.8,396.9,5.04,1
180,0.06588,0.0,2.46,0.0,0.488,7.765,83.3,2.741,3.0,193.0,17.8,395.56,7.56,1
181,0.06888,0.0,2.46,0.0,0.488,6.144,62.2,2.5979,3.0,193.0,17.8,396.9,9.45,1
182,0.09103,0.0,2.46,0.0,0.488,7.155,92.2,2.7006,3.0,193.0,17.8,394.12,4.82,1
183,0.10008,0.0,2.46,0.0,0.488,6.563,95.6,2.847,3.0,193.0,17.8,396.9,5.68,1
184,0.08308,0.0,2.46,0.0,0.488,5.604,89.8,2.9879,3.0,193.0,17.8,391.0,13.98,1
185,0.06047,0.0,2.46,0.0,0.488,6.153,68.8,3.2797,3.0,193.0,17.8,387.11,13.15,1
186,0.056020000000000014,0.0,2.46,0.0,0.488,7.831,53.6,3.1992,3.0,193.0,17.8,392.63,4.45,1
187,0.07875,45.0,3.44,0.0,0.4370000000000001,6.782,41.1,3.7886,5.0,398.0,15.2,393.87,6.68,1
188,0.12579,45.0,3.44,0.0,0.4370000000000001,6.556,29.1,4.5667,5.0,398.0,15.2,382.84,4.56,1
189,0.0837,45.0,3.44,0.0,0.4370000000000001,7.185,38.9,4.5667,5.0,398.0,15.2,396.9,5.39,1
190,0.09068,45.0,3.44,0.0,0.4370000000000001,6.9510000000000005,21.5,6.4798,5.0,398.0,15.2,377.68,5.1,1
191,0.06911,45.0,3.44,0.0,0.4370000000000001,6.739,30.8,6.4798,5.0,398.0,15.2,389.71,4.69,1
192,0.08664,45.0,3.44,0.0,0.4370000000000001,7.178,26.3,6.4798,5.0,398.0,15.2,390.49,2.87,1
193,0.02187,60.0,2.93,0.0,0.401,6.8,9.9,6.2196,1.0,265.0,15.6,393.37,5.03,1
194,0.01439,60.0,2.93,0.0,0.401,6.604,18.8,6.2196,1.0,265.0,15.6,376.7,4.38,1
195,0.01381,80.0,0.46,0.0,0.422,7.875,32.0,5.6484,4.0,255.0,14.4,394.23,2.97,1
196,0.04011,80.0,1.52,0.0,0.404,7.287000000000001,34.1,7.309,2.0,329.0,12.6,396.9,4.08,1
197,0.04666,80.0,1.52,0.0,0.404,7.107,36.6,7.309,2.0,329.0,12.6,354.31,8.61,1
198,0.03768,80.0,1.52,0.0,0.404,7.274,38.3,7.309,2.0,329.0,12.6,392.2,6.62,1
199,0.0315,95.0,1.47,0.0,0.403,6.975,15.3,7.6534,3.0,402.0,17.0,396.9,4.56,1
200,0.01778,95.0,1.47,0.0,0.403,7.135,13.9,7.6534,3.0,402.0,17.0,384.3,4.45,1
201,0.03445,82.5,2.03,0.0,0.415,6.162000000000001,38.4,6.27,2.0,348.0,14.7,393.77,7.43,1
202,0.02177,82.5,2.03,0.0,0.415,7.61,15.7,6.27,2.0,348.0,14.7,395.38,3.11,1
203,0.0351,95.0,2.68,0.0,0.4161,7.853,33.2,5.118,4.0,224.0,14.7,392.78,3.81,1
204,0.02009,95.0,2.68,0.0,0.4161,8.033999999999999,31.9,5.118,4.0,224.0,14.7,390.55,2.88,1
205,0.13642,0.0,10.59,0.0,0.489,5.891,22.3,3.9454,4.0,277.0,18.6,396.9,10.87,1
206,0.22969,0.0,10.59,0.0,0.489,6.3260000000000005,52.5,4.3549,4.0,277.0,18.6,394.87,10.97,1
207,0.25199,0.0,10.59,0.0,0.489,5.783,72.7,4.3549,4.0,277.0,18.6,389.43,18.06,1
208,0.13587,0.0,10.59,1.0,0.489,6.064,59.1,4.2392,4.0,277.0,18.6,381.32,14.66,1
209,0.43571,0.0,10.59,1.0,0.489,5.3439999999999985,100.0,3.875,4.0,277.0,18.6,396.9,23.09,1
210,0.17446,0.0,10.59,1.0,0.489,5.96,92.1,3.8771,4.0,277.0,18.6,393.25,17.27,1
211,0.37578,0.0,10.59,1.0,0.489,5.404,88.6,3.665,4.0,277.0,18.6,395.24,23.98,1
212,0.21719,0.0,10.59,1.0,0.489,5.807,53.8,3.6526,4.0,277.0,18.6,390.94,16.03,1
213,0.14052,0.0,10.59,0.0,0.489,6.375,32.3,3.9454,4.0,277.0,18.6,385.81,9.38,1
214,0.28955,0.0,10.59,0.0,0.489,5.412000000000001,9.8,3.5875,4.0,277.0,18.6,348.93,29.55,1
215,0.19802,0.0,10.59,0.0,0.489,6.182,42.4,3.9454,4.0,277.0,18.6,393.63,9.47,1
216,0.0456,0.0,13.89,1.0,0.55,5.888,56.0,3.1121,5.0,276.0,16.4,392.8,13.51,1
217,0.07013,0.0,13.89,0.0,0.55,6.642,85.1,3.4211,5.0,276.0,16.4,392.78,9.69,1
218,0.11069,0.0,13.89,1.0,0.55,5.9510000000000005,93.8,2.8893,5.0,276.0,16.4,396.9,17.92,1
219,0.11425,0.0,13.89,1.0,0.55,6.372999999999998,92.4,3.3633,5.0,276.0,16.4,393.74,10.5,1
220,0.35809,0.0,6.2,1.0,0.507,6.9510000000000005,88.5,2.8617,8.0,307.0,17.4,391.7,9.71,1
221,0.40771,0.0,6.2,1.0,0.507,6.164,91.3,3.048,8.0,307.0,17.4,395.24,21.46,1
222,0.62356,0.0,6.2,1.0,0.507,6.879,77.7,3.2721,8.0,307.0,17.4,390.39,9.93,1
223,0.6147,0.0,6.2,0.0,0.507,6.6179999999999986,80.8,3.2721,8.0,307.0,17.4,396.9,7.6,1
224,0.31533,0.0,6.2,0.0,0.504,8.266,78.3,2.8944,8.0,307.0,17.4,385.05,4.14,1
225,0.52693,0.0,6.2,0.0,0.504,8.725,83.0,2.8944,8.0,307.0,17.4,382.0,4.63,1
226,0.38214,0.0,6.2,0.0,0.504,8.04,86.5,3.2157,8.0,307.0,17.4,387.38,3.13,1
227,0.41238,0.0,6.2,0.0,0.504,7.1629999999999985,79.9,3.2157,8.0,307.0,17.4,372.08,6.36,1
228,0.29819,0.0,6.2,0.0,0.504,7.686,17.0,3.3751,8.0,307.0,17.4,377.51,3.92,1
229,0.44178,0.0,6.2,0.0,0.504,6.5520000000000005,21.4,3.3751,8.0,307.0,17.4,380.34,3.76,1
